Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 17.21      0.11     0.11  9106330     0.00     0.00  std::_Bit_reference::operator bool() const
 11.48      0.18     0.07  2061872     0.00     0.00  Cell::TranslateAdd(Cell) const
 11.48      0.25     0.07     2063     0.03     0.18  State::LineDelete(Game const&)
  9.02      0.30     0.06  8741367     0.00     0.00  std::_Bit_iterator_base::_Bit_iterator_base(unsigned long*, unsigned int)
  8.20      0.35     0.05 10811175     0.00     0.00  Cell::Cell(int, int)
  5.74      0.39     0.04  6356559     0.00     0.00  (anonymous namespace)::DivFloor(int, int)
  4.92      0.42     0.03  8321494     0.00     0.00  std::vector<bool, std::allocator<bool> >::operator[](unsigned long)
  4.10      0.44     0.03  9912502     0.00     0.00  std::_Bit_reference::_Bit_reference(unsigned long*, unsigned long)
  3.28      0.46     0.02  9117046     0.00     0.00  std::_Bit_iterator::operator*() const
  3.28      0.48     0.02  8371282     0.00     0.00  std::_Bit_iterator::_Bit_iterator(unsigned long*, unsigned int)
  3.28      0.50     0.02   795456     0.00     0.00  std::_Bit_const_iterator::operator*() const
  1.64      0.51     0.01  8741367     0.00     0.00  std::iterator<std::random_access_iterator_tag, bool, long, bool*, bool&>::iterator()
  1.64      0.52     0.01  8317130     0.00     0.00  Cell::Lin(int)
  1.64      0.53     0.01   795456     0.00     0.00  std::_Bit_const_iterator::operator++()
  1.64      0.54     0.01   521382     0.00     0.00  void std::swap<char*>(char*&, char*&)
  1.64      0.55     0.01   173794     0.00     0.00  std::_Vector_base<char, std::allocator<char> >::_Vector_impl::_M_swap_data(std::_Vector_base<char, std::allocator<char> >::_Vector_impl&)
  1.64      0.56     0.01    73899     0.00     0.00  std::_Bvector_base<std::allocator<bool> >::_Bvector_impl::_Bvector_impl(std::allocator<unsigned long>&&)
  1.64      0.57     0.01    24855     0.00     0.00  char* std::__uninitialized_copy<true>::__uninit_copy<__gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > >, char*>(__gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > >, __gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > >, char*)
  1.64      0.58     0.01    11988     0.00     0.03  State::UpdateVisitedAndLock(Game const&, Cell)
  1.64      0.59     0.01     3090     0.00     0.00  void std::swap<picojson::value::_storage>(picojson::value::_storage&, picojson::value::_storage&)
  1.64      0.60     0.01     2066     0.00     0.06  Unit::GetSpawnPos(int) const
  0.82      0.61     0.01      952     0.01     0.01  (anonymous namespace)::ReadCell(std::map<std::string, picojson::value, std::less<std::string>, std::allocator<std::pair<std::string const, picojson::value> > >&)
  0.82      0.61     0.01                             std::_Bit_reference::operator=(std::_Bit_reference const&)
  0.00      0.61     0.00  2839899     0.00     0.00  __gnu_cxx::__normal_iterator<Cell const*, std::vector<Cell, std::allocator<Cell> > >::base() const
  0.00      0.61     0.00  1975176     0.00     0.00  int const& std::min<int>(int const&, int const&)
  0.00      0.61     0.00  1591008     0.00     0.00  std::_Bit_iterator_base::_M_bump_up()
  0.00      0.61     0.00  1564146     0.00     0.00  std::remove_reference<char*&>::type&& std::move<char*&>(char*&)
  0.00      0.61     0.00  1419471     0.00     0.00  bool __gnu_cxx::operator!=<Cell const*, std::vector<Cell, std::allocator<Cell> > >(__gnu_cxx::__normal_iterator<Cell const*, std::vector<Cell, std::allocator<Cell> > > const&, __gnu_cxx::__normal_iterator<Cell const*, std::vector<Cell, std::allocator<Cell> > > const&)
  0.00      0.61     0.00  1072665     0.00     0.00  __gnu_cxx::__normal_iterator<Cell const*, std::vector<Cell, std::allocator<Cell> > >::operator*() const
  0.00      0.61     0.00  1070514     0.00     0.00  __gnu_cxx::__normal_iterator<Cell const*, std::vector<Cell, std::allocator<Cell> > >::operator++()
  0.00      0.61     0.00   806172     0.00     0.00  std::_Bit_reference::operator=(bool)
  0.00      0.61     0.00   795552     0.00     0.00  std::_Bit_iterator::operator++()
  0.00      0.61     0.00   698871     0.00     0.00  __gnu_cxx::__normal_iterator<Cell const*, std::vector<Cell, std::allocator<Cell> > >::__normal_iterator(Cell const* const&)
  0.00      0.61     0.00   374442     0.00     0.00  std::remove_reference<std::_Bit_iterator&>::type&& std::move<std::_Bit_iterator&>(std::_Bit_iterator&)
  0.00      0.61     0.00   349595     0.00     0.00  std::vector<Cell, std::allocator<Cell> >::begin() const
  0.00      0.61     0.00   349276     0.00     0.00  std::vector<Cell, std::allocator<Cell> >::end() const
  0.00      0.61     0.00   348402     0.00     0.00  std::_Vector_base<char, std::allocator<char> >::_M_get_Tp_allocator()
  0.00      0.61     0.00   245760     0.00     0.00  std::_Bit_iterator::_Bit_iterator()
