# ========
# captured on: Sun Aug  9 12:03:32 2015
# hostname : dev-1
# os release : 3.13.0-61-generic
# perf version : 3.13.11-ckt22
# arch : x86_64
# nrcpus online : 4
# nrcpus avail : 4
# cpudesc : Intel(R) Core(TM) i7-3667U CPU @ 2.00GHz
# cpuid : GenuineIntel,6,58,9
# total memory : 2043140 kB
# cmdline : /usr/lib/linux-tools-3.13.0-61/perf record ./play_icfp2015 -f problems/problem_0.json 
# event : name = cpu-clock, type = 1, config = 0x0, config1 = 0x0, config2 = 0x0, excl_usr = 0, excl_kern = 0, excl_host = 0, excl_guest = 1, precise_ip = 0, attr_mmap2 = 0, attr_mmap  = 1, attr_mmap_data = 0
# HEADER_CPU_TOPOLOGY info available, use -I to display
# HEADER_NUMA_TOPOLOGY info available, use -I to display
# pmu mappings: cpu = 4, software = 1, tracepoint = 2, breakpoint = 5
# ========
#
# Samples: 9K of event 'cpu-clock'
# Event count (approx.): 2393250000
#
# Overhead        Command        Shared Object                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         Symbol
# ........  .............  ...................  .............................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     5.80%  play_icfp2015  play_icfp2015        [.] std::_Bit_iterator_base::_M_bump_up()                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
     4.40%  play_icfp2015  play_icfp2015        [.] std::_Bit_reference::_Bit_reference(unsigned long*, unsigned long)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
     4.28%  play_icfp2015  play_icfp2015        [.] std::_Bit_iterator std::__copy_move<false, false, std::random_access_iterator_tag>::__copy_m<std::_Bit_const_iterator, std::_Bit_iterator>(std::_Bit_const_iterator, std::_Bit_const_iterator, std::_Bit_iterator)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
     4.09%  play_icfp2015  play_icfp2015        [.] std::_Bit_reference::operator bool() const                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
     4.08%  play_icfp2015  play_icfp2015        [.] std::_Bit_reference::operator=(bool)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
     3.70%  play_icfp2015  play_icfp2015        [.] std::_Bit_iterator::operator*() const                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
     3.15%  play_icfp2015  play_icfp2015        [.] void std::swap<char*>(char*&, char*&)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
     2.14%  play_icfp2015  play_icfp2015        [.] std::_Bit_const_iterator::operator*() const                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
     2.09%  play_icfp2015  libc-2.19.so         [.] _int_free                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
     1.79%  play_icfp2015  play_icfp2015        [.] std::remove_reference<char*&>::type&& std::move<char*&>(char*&)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
